file,low_dab_mean,low_dab_std,low_dab_rgb_mean,low_dab_rgb_std,high_dab_mean,high_dab_std,high_dab_rgb_mean,high_dab_rgb_std
"CyclinD1/1. WT, Chow/NK42/CyclinD1_NK42_1.vmic.18980.tif Snapshot 1.tif",0.0496179343914647,0.0063435250995814,174.56583704217803,10.145288934946764,0.0736262279748652,0.0152117947128295,149.497509160091,14.667844948864309
"CyclinD1/1. WT, Chow/NK42/CyclinD1_NK42_1.vmic.18980.tif Snapshot 2.tif",0.0463482292467446,0.0054198315717242,177.57815930559107,9.46974122157145,0.0682069940917509,0.0156146244354507,153.72095264628837,15.71097337472128
"CyclinD1/1. WT, Chow/NK42/CyclinD1_NK42_1.vmic.18980.tif Snapshot 3.tif",0.0494550619937123,0.0057893732169856,174.51719306482786,9.555674183894508,0.0746239282450554,0.018684082068746,147.785936270865,17.458147435128378
"CyclinD1/1. WT, Chow/NK42/CyclinD1_NK42_1.vmic.18980.tif Snapshot 4.tif",0.0453075817596423,0.0059222304161406,178.76505695696997,10.564357764037734,0.0673604939614706,0.0155181697414165,155.06644151640617,15.56757264662437
"CyclinD1/1. WT, Chow/NK43/CyclinD1_NK43_1.vmic.18980.tif  Snapshot 1.tif",0.0305652008414017,0.0037438587929107,191.54026117468047,10.55849027501482,0.0453253026715339,0.0107471045472322,171.82822814411523,16.9758344510518
"CyclinD1/1. WT, Chow/NK43/CyclinD1_NK43_1.vmic.18980.tif  Snapshot 2.tif",0.0269661399567462,0.0033484702796788,194.2342867617607,11.14818292555938,0.0405870342698717,0.0111595432617141,174.1355502485053,19.18241976561429
"CyclinD1/1. WT, Chow/NK43/CyclinD1_NK43_1.vmic.18980.tif  Snapshot 3.tif",0.0270130715387913,0.0044768606080432,196.81879967472,12.004790655024951,0.0440487008847487,0.0111875111747808,175.8414236547044,16.508359016547853
"CyclinD1/1. WT, Chow/NK43/CyclinD1_NK43_1.vmic.18980.tif  Snapshot 4.tif",0.0314887468594961,0.0047237770976991,192.6267863352,11.60307925309576,0.0472307446844405,0.0106184095093411,172.78429193353296,15.151614471151095
"CyclinD1/1. WT, Chow/NK52/CyclinD1 NK52_1.vmic.18820.tif Snapshot 1.tif",0.0238437699140573,0.006124418924912,185.43317741855955,26.557279225813843,0.0822323782596153,0.0296338344104997,100.27040822210382,22.652756247588183
"CyclinD1/1. WT, Chow/NK52/CyclinD1 NK52_1.vmic.18820.tif Snapshot 2.tif",0.0200402566427657,0.0043956865822896,181.87661944945145,29.51812201051659,0.0554317026073857,0.0205115748723965,106.97330194543804,22.86667860523732
"CyclinD1/1. WT, Chow/NK52/CyclinD1 NK52_1.vmic.18820.tif Snapshot 3.tif",0.0198223750501405,0.0049628603938349,185.985112548985,28.40940886213349,0.0612439481810498,0.0234580362564705,111.50593668634173,22.887150460955848
